Hour,Is_Weekend,Temperature,Visibility,High_Risk,Latitude,Longitude
1,0,75,10,1,33.89962565205783,76.6645069124498
21,0,75,10,0,26.75147565096101,81.24121622657115
5,0,75,3,0,20.996610051710526,81.68732506873187
0,1,75,3,0,26.872726161634308,80.95616584847443
11,0,75,3,0,27.069143553889575,88.14376611991483
8,0,75,3,1,25.854389750323687,90.94782715492391
18,0,75,3,1,27.180639580130627,88.31575403714724
11,0,75,10,0,31.041571048268207,76.9297533454848
8,1,75,10,1,26.92022833191418,74.03827045412982
2,1,75,3,1,27.116537410396433,74.08613116773955
22,0,75,10,0,31.392570551302374,77.54845063943262
16,0,75,10,1,26.869145008738034,81.04006188240983
23,1,75,10,1,26.031689271120634,92.18281566089604
6,0,75,3,1,25.076980828241247,85.3575671969691
18,0,75,3,1,18.24742275265212,78.7734287430057
12,0,75,3,0,27.924762065612775,94.42034014385627
12,1,75,3,0,16.055916989955637,79.81191077924196
18,0,75,10,1,14.823176823042578,76.19329320922196
10,0,75,3,1,27.679982844728144,88.94829442976214
6,1,75,3,1,21.21119564834062,81.81729963429997
8,0,75,3,1,23.175798616321668,78.99850200938671
1,0,75,10,1,12.208627549776448,80.29056869277417
18,0,75,10,1,27.14796486802361,81.15745802119312
13,0,75,3,1,19.31265307843446,75.7371417346892
3,0,75,3,1,33.3007326286222,76.68506529632872
11,0,75,3,1,10.660198586796293,78.80917430526341
15,0,75,10,0,22.988136790775656,78.28200321772503
0,0,75,3,1,23.400253666172482,78.61407626077384
15,0,75,3,1,30.307465740946103,76.86693539417993
10,1,75,10,0,26.81516334652655,81.3982637515951
15,0,75,3,1,22.004740613735045,71.31866307642044
9,0,75,10,1,26.359007327709392,81.17258942156177
23,1,75,10,1,20.110846824035136,75.91844162273168
12,0,75,3,0,21.439748408557076,85.30011731246924
17,1,75,3,0,18.32212114148167,78.68982294487877
11,1,75,10,1,22.949144054863883,87.81404004810878
16,0,75,3,1,10.590155902880367,76.56015341720855
19,0,75,3,0,26.15241830652753,92.39678348418377
17,1,75,3,0,26.179437493603373,94.98666464504916
6,0,75,10,1,25.742671401517022,90.92916882587372
17,0,75,3,1,21.393409747442234,81.83118401866398
20,0,75,3,1,22.019543443411145,71.6314594369226
7,0,75,10,0,22.64291465684163,87.56606888775327
7,1,75,3,1,23.0895778216407,88.06167430545464
10,1,75,3,1,24.226241437482464,91.49335833870764
22,0,75,3,0,15.3789453944679,76.06642559120077
9,0,75,3,0,23.351557654134936,88.12620495093275
19,0,75,3,1,21.683545717880634,81.86205270264179
5,0,75,3,1,31.435150848273125,76.99925795600987
4,1,75,10,0,22.74537930734268,71.38529210679711
0,0,75,3,1,22.640542886007868,71.47530426113438
18,0,75,3,0,26.392847314987524,80.68115261752082
22,0,75,3,1,20.68647819603874,85.35889355099663
9,1,75,10,0,29.608060979034818,79.43276144816198
